任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
异常检测/定位,Anomaly Detection,Patched Diffusion Models for Unsupervised Anomaly Detection in Brain MRI,"Finn Behrendt, Debayan Bhattacharya, Julia Krüger, Roland Opfer, Alexander Schlaefer","7th Mar., 2023","MIDL, 2023",扩散ODE,异常检测/定位,Paper:https://arxiv.org/abs/2303.03758 | Github:https://github.com/FinnBehrendt/patched-Diffusion-Models-UAD,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Dissolving Is Amplifying: Towards Fine-Grained Anomaly Detection,"Jian Shi, Pengyi Zhang, Ni Zhang, Hakim Ghazzai, Yehia Massoud","28th Feb., 2023","arXiv, 2023",通用/未明确,异常检测/定位,Paper:https://arxiv.org/abs/2302.14696,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,The role of noise in denoising models for anomaly detection in medical images,"Antanas Kascenas, Pedro Sanchez, Patrick Schrempf, Chaoyang Wang, William Clackett, Shadia S. Mikhael, Jeremy P. Voisey, Keith Goatman, Alexander Weir, Nicolas Pugeault, Sotirios A. Tsaftaris, Alison Q. O'Neil","19th Jan., 2023","MedIA Journal, 2023",通用/未明确,异常检测/定位,Paper:https://arxiv.org/abs/2301.08330 | Github:https://github.com/AntanasKascenas/DenoisingAE,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,What is Healthy? Generative Counterfactual Diffusion for Lesion Localization,"Pedro Sanchez, Antanas Kascenas, Xiao Liu, Alison Q. O'Neil, Sotirios A. Tsaftaris","25th Jul., 2022","MICCAI Workshop, 2022",通用/未明确,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2207.12268 | Github:https://github.com/vios-s/Diff-SCM,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,AnoDDPM: Anomaly Detection with Denoising Diffusion Probabilistic Models using Simplex Noise,"Julian Wyatt, Adam Leach, Sebastian M. Schmon, Chris G. Willcocks","1st Jun., 2022","CVPR Workshop, 2022","DDPM类, 扩散ODE",异常检测/定位,Paper:https://openaccess.thecvf.com/content/CVPR2022W/NTIRE/papers/Wyatt_AnoDDPM_Anomaly_Detection_With_Denoising_Diffusion_Probabilistic_Models_Using_Simplex_CVPRW_2022_paper.pdf | Github:https://github.com/Julian-Wyatt/AnoDDPM,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,The Swiss Army Knife for Image-to-Image Translation: Multi-Task Diffusion Models,"Julia Wolleb, Robin Sandkühler, Florentin Bieder, Philippe C. Cattin","6th Apr., 2022","arXiv, 2022",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2204.02641,（README未提供，详见论文）
异常检测/定位,Anomaly Detection,Diffusion Models for Medical Anomaly Detection,"Julia Wolleb, Florentin Bieder, Robin Sandkühler, Philippe C. Cattin","8th Mar., 2022","MICCAI, 2022",扩散ODE,异常检测/定位,Paper:https://arxiv.org/abs/2203.04306 | Github:https://github.com/JuliaWolleb/diffusion-anomaly,（README未提供，详见论文）
去噪,Denoising,DiffDenoise: Self-Supervised Medical Image Denoising with Conditional Diffusion Models,"Basar Demir, Yikang Liu, Xiao Chen, Eric Z. Chen, Lin Zhao, Boris Mailhe, Terrence Chen, Shanhui Sun","31st Mar., 2025","arXiv, 2025","条件扩散, 扩散ODE",去噪,Paper:http://arxiv.org/abs/2504.00264v1,（README未提供，详见论文）
去噪,Denoising,Ultrasound Imaging based on the Variance of a Diffusion Restoration Model,"Yuxin Zhang, Clément Huneau, Jérôme Idier, Diana Mateus","17th Jun., 2024",EUSIPCO,扩散ODE,重建/复原驱动,Paper:https://arxiv.org/pdf/2403.15316 | Github:https://github.com/Yuxin-Zhang-Jasmine/DRUSvar,（README未提供，详见论文）
去噪,Denoising,Dose-aware Diffusion Model for 3D Low-dose PET: Multi-institutional Validation with Reader Study and Real Low-dose Data,"Huidong Xie, Weijie Gan, Bo Zhou, Ming-Kai Chen, Michal Kulon, Annemarie Boustani, Benjamin A. Spencer, Reimund Bayerlein, Xiongchao Chen, Qiong Liu, Xueqi Guo, Menghua Xia, Yinchi Zhou, Hui Liu, Liang Guo, Hongyu An, Ulugbek S. Kamilov, Hanzhong Wang, Biao Li, Axel Rominger, Kuangyu Shi, Ge Wang, Ramsey D. Badawi, Chi Liu","2nd May, 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2405.12996,（README未提供，详见论文）
去噪,Denoising,Implicit Image-to-Image Schrodinger Bridge for CT Super-Resolution and Denoising,"Yuang Wang, Siyeop Yoon, Pengfei Jin, Matthew Tivnan, Zhennong Chen, Rui Hu, Li Zhang, Zhiqiang Chen, Quanzheng Li, Dufan Wu","10th Mar., 2024","arXiv, 2024",Schrödinger Bridge,超分,Paper:https://arxiv.org/abs/2403.06069,（README未提供，详见论文）
去噪,Denoising,SDDPM: Speckle Denoising Diffusion Probabilistic Models,"Soumee Guha, Scott T. Acton","17th Nov., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2311.10868,（README未提供，详见论文）
去噪,Denoising,Deep Ultrasound Denoising Using Diffusion Probabilistic Models,"Hojat Asgariandehkordi, Sobhan Goudarzi, Adrian Basarab, Hassan Rivaz","12th Jun., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2306.07440,（README未提供，详见论文）
去噪,Denoising,A Diffusion Probabilistic Prior for Low-Dose CT Image Denoising,"Xuan Liu, Yaoqin Xie, Songhui Diao, Shan Tan, Xiaokun Liang","25th May, 2023","arXiv, 2023",DDPM类,去噪,Paper:https://arxiv.org/abs/2305.15887,（README未提供，详见论文）
去噪,Denoising,CoreDiff: Contextual Error-Modulated Generalized Diffusion Model for Low-Dose CT Denoising and Generalization,"Qi Gao, Zilong Li, Junping Zhang, Yi Zhang, Hongming Shan","4th Apr., 2023","arXiv, 2023",扩散ODE,去噪,Paper:https://arxiv.org/abs/2304.01814,（README未提供，详见论文）
去噪,Denoising,DDM2: Self-Supervised Diffusion MRI Denoising with Generative Diffusion Models,"Tiange Xiang, Mahmut Yurt, Ali B Syed, Kawin Setsompop, Akshay Chaudhari","6th Feb., 2023","ICLR, 2023",扩散ODE,去噪,Paper:https://arxiv.org/abs/2302.03018 | Github:https://github.com/StanfordMIMI/DDM2,（README未提供，详见论文）
去噪,Denoising,Low-Dose CT Using Denoising Diffusion Probabilistic Model for 20× Speedup,"Wenjun Xia, Qing Lyu, Ge Wang","29th Sep., 2022","arXiv, 2022","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2209.15136,（README未提供，详见论文）
去噪,Denoising,PET image denoising based on denoising diffusion probabilistic models,"Kuang Gong, Keith A. Johnson, Georges El Fakhri, Quanzheng Li, Tinsu Pan","13th Sep., 2022","European Journal of Nuclear Medicine and Molecular Imaging, 2022","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2209.06167,（README未提供，详见论文）
去噪,Denoising,Unsupervised Denoising of Retinal OCT with Diffusion Probabilistic Model,"Dewei Hu, Yuankai K. Tao, Ipek Oguz","27th Jan., 2022",Medical Imaging 2022: Image Processing,"DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2201.11760 | Github:https://github.com/DeweiHu/OCT_DDPM,（README未提供，详见论文）
分割,Segmentation,Aleatoric Uncertainty Medical Image Segmentation Estimation via Flow Matching,"Phi Van Nguyen, Ngoc Huynh Trinh, Duy Minh Lam Nguyen, Phu Loc Nguyen, Quoc Long Tran","30th Jul., 2025","arXiv, 2025",流模型/Flow,分割,Paper:http://arxiv.org/abs/2507.22418v1 | Github:https://github.com/huynhspm/Data-Uncertainty,（README未提供，详见论文）
分割,Segmentation,Flow Stochastic Segmentation Networks,"Fabio De Sousa Ribeiro, Omar Todd, Charles Jones, Avinash Kori, Raghav Mehta, Ben Glocker","24th Jul., 2025","arXiv, 2025",流模型/Flow,分割,Paper:http://arxiv.org/abs/2507.18838v1 | Github:https://github.com/biomedia-mira/flow-ssn,（README未提供，详见论文）
分割,Segmentation,LEAF: Latent Diffusion with Efficient Encoder Distillation for Aligned Features in Medical Image Segmentation,"Qilin Huang, Tianyu Lin, Zhiguang Chen, Fudan Zheng","24th Jul., 2025","arXiv, 2025","潜空间/Latent Diffusion, 扩散ODE",分割,Paper:http://arxiv.org/abs/2507.18214v1 | Github:https://leafseg.github.io/leaf/,（README未提供，详见论文）
分割,Segmentation,Robust Noisy Pseudo-label Learning for Semi-supervised Medical Image Segmentation Using Diffusion Model,"Lin Xi, Yingliang Ma, Cheng Wang, Sandra Howell, Aldo Rinaldi, Kawal S. Rhode","22nd Jul., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2507.16429v1,（README未提供，详见论文）
分割,Segmentation,Latent Space Synergy: Text-Guided Data Augmentation for Direct Diffusion Biomedical Segmentation,"Muhammad Aqeel, Maham Nazir, Zanxi Ruan, Francesco Setti","21st Jul., 2025","arXiv, 2025",潜空间/Latent Diffusion,分割,Paper:http://arxiv.org/abs/2507.15361v1,（README未提供，详见论文）
分割,Segmentation,SegDT: A Diffusion Transformer-Based Segmentation Model for Medical Imaging,"Salah Eddine Bekhouche, Gaby Maroun, Fadi Dornaika, Abdenour Hadid","21st Jul., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2507.15595v1 | Github:https://github.com/Bekhouche/SegDT,（README未提供，详见论文）
分割,Segmentation,DiffOSeg: Omni Medical Image Segmentation via Multi-Expert Collaboration Diffusion Model,"Han Zhang, Xiangde Luo, Yong Chen, Kang Li","17th Jul., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2507.13087v1 | Github:https://github.com/string-ellipses/DiffOSeg,（README未提供，详见论文）
分割,Segmentation,Diffusion Model-based Data Augmentation Method for Fetal Head Ultrasound Segmentation,"Fangyijie Wang, Kevin Whelan, Félix Balado, Kathleen M. Curran, Guénolé Silvestre","30th Jun., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2506.23664v2,（README未提供，详见论文）
分割,Segmentation,Contrastive Learning with Diffusion Features for Weakly Supervised Medical Image Segmentation,"Dewen Zeng, Xinrong Hu, Yu-Jen Chen, Yawen Wu, Xiaowei Xu, Yiyu Shi","30th Jun., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2506.23460v1,（README未提供，详见论文）
分割,Segmentation,Inpainting is All You Need: A Diffusion-based Augmentation Method for Semi-supervised Medical Image Segmentation,"Xinrong Hu, Yiyu Shi","28th Jun., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2506.23038v1,（README未提供，详见论文）
分割,Segmentation,CLAIM: Clinically-Guided LGE Augmentation for Realistic and Diverse Myocardial Scar Synthesis and Segmentation,"Farheen Ramzan, Yusuf Kiberu, Nikesh Jathanna, Shahnaz Jamil-Copley, Richard H. Clayton, Chen Chen","18th Jun., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2506.15549v2 | Github:https://github.com/farheenjabeen/CLAIM-Scar-Synthesis,（README未提供，详见论文）
分割,Segmentation,Echo-DND: A dual noise diffusion model for robust and precise left ventricle segmentation in echocardiography,"Abdur Rahman, Keerthiveena Balraj, Manojkumar Ramteke, Anurag Singh Rathore","18th Jun., 2025","Discover Applied Sciences (Springer Nature), 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2506.15166v1 | Github:https://github.com/abdur75648/Echo-DND | Project Page:https://abdur75648.github.io/Echo-DND/,（README未提供，详见论文）
分割,Segmentation,Unleashing Diffusion and State Space Models for Medical Image Segmentation,"Rong Wu, Ziqi Chen, Liming Zhong, Heng Li, Hai Shu","15th Jun., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2506.12747v2 | Github:https://github.com/Rows21/k-Means_Mask_Mamba,（README未提供，详见论文）
分割,Segmentation,Enhancing Privacy: The Utility of Stand-Alone Synthetic CT and MRI for Tumor and Bone Segmentation,"André Ferreira, Kunpeng Xie, Caroline Wilpert, Gustavo Correia, Felix Barajas Ordonez, Tiago Gil Oliveira, Maike Bode, Robert Siepmann, Frank Hölzle, Rainer Röhrig, Jens Kleesiek, Daniel Truhn, Jan Egger, Victor Alves, Behrus Puladi","13th Jun., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2506.12106v1 | Github:https://github.com/ShadowTwin41/generative_networks,（README未提供，详见论文）
分割,Segmentation,TumorGen: Boundary-Aware Tumor-Mask Synthesis with Rectified Flow Matching,"Shengyuan Liu, Wenting Chen, Boyun Zheng, Wentao Pan, Xiang Li, Yixuan Yuan","30th May, 2025","arXiv, 2025","流模型/Flow, 掩码/Masked机制",未归纳,Paper:http://arxiv.org/abs/2505.24687v1,（README未提供，详见论文）
分割,Segmentation,Beyond Labels: Zero-Shot Diabetic Foot Ulcer Wound Segmentation with Self-attention Diffusion Models and the Potential for Text-Guided Customization,"Abderrachid Hamrani, Daniela Leizaola, Renato Sousa, Jose P. Ponce, Stanley Mathis, David G. Armstrong, Anuradha Godavarty","24th Apr., 2025","IEEE Journal of Biomedical and Health Informatics, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2504.17628v1,（README未提供，详见论文）
分割,Segmentation,TextDiffSeg: Text-guided Latent Diffusion Model for 3d Medical Images Segmentation,Kangbo Ma,"16th Apr., 2025","arXiv, 2025","潜空间/Latent Diffusion, 扩散ODE",分割,Paper:http://arxiv.org/abs/2504.11825v1,（README未提供，详见论文）
分割,Segmentation,Diffusion Based Ambiguous Image Segmentation,"Jakob Lønborg Christensen, Morten Rieger Hannemose, Anders Bjorholm Dahl, Vedrana Andersen Dahl","08th Apr., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2504.05977v1,（README未提供，详见论文）
分割,Segmentation,Semi-Supervised Biomedical Image Segmentation via Diffusion Models and Teacher-Student Co-Training,"Luca Ciampi, Gabriele Lagani, Giuseppe Amato, Fabrizio Falchi","2nd Apr., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2504.01547v1 | GitHub:https://github.com/ciampluca/diffusion_semi_supervised_biomedical_image_segmentation,（README未提供，详见论文）
分割,Segmentation,Diff-CL: A Novel Cross Pseudo-Supervision Method for Semi-supervised Medical Image Segmentation,"Xiuzhen Guo, Lianyuan Yu, Ji Shi, Na Lei, Hongxiao Wang","12th Mar., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2503.09408v1,（README未提供，详见论文）
分割,Segmentation,DiffAtlas: GenAI-fying Atlas Segmentation via Image-Mask Diffusion,"Hantao Zhang, Yuhe Liu, Jiancheng Yang, Weidong Guo, Xinyuan Wang, Pascal Fua","09th Mar., 2025","arXiv, 2025",掩码/Masked机制,分割,Paper:http://arxiv.org/abs/2503.06748v1 | GitHub:https://github.com/M3DV/DiffAtlas,（README未提供，详见论文）
分割,Segmentation,Conditional diffusion model with spatial attention and latent embedding for medical image segmentation,"Behzad Hejrati, Soumyanil Banerjee, Carri Glide-Hurst, Ming Dong","10th Feb., 2025","MICCAI, 2024","潜空间/Latent Diffusion, 条件扩散, 扩散ODE",分割,Paper:http://arxiv.org/abs/2502.06997v2 | GitHub:https://github.com/Hejrati/cDAL/,（README未提供，详见论文）
分割,Segmentation,Medical Semantic Segmentation with Diffusion Pretrain,"David Li, Anvar Kurmukov, Mikhail Goncharov, Roman Sokolov, Mikhail Belyaev","31st Jan., 2025","arXiv, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2501.19265v1,（README未提供，详见论文）
分割,Segmentation,MedSegDiffNCA: Diffusion Models With Neural Cellular Automata for Skin Lesion Segmentation,"Avni Mittal, John Kalkhof, Anirban Mukhopadhyay, Arnav Bhavsar","05th Jan., 2025","arXiv, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2501.02447v1,（README未提供，详见论文）
分割,Segmentation,Bridging Classification and Segmentation in Osteosarcoma Assessment via Foundation and Discrete Diffusion Models,"Manh Duong Nguyen, Dac Thai Nguyen, Trung Viet Nguyen, Homi Yamada, Huy Hieu Pham, Phi Le Nguyen","03rd Jan., 2025","ISBI, 2025",扩散ODE,分割,Paper:http://arxiv.org/abs/2501.01932v1 | Github:https://github.com/nmduonggg/FDDM,（README未提供，详见论文）
分割,Segmentation,Structure-Aware Stylized Image Synthesis for Robust Medical Image Segmentation,"Jie Bao, Zhixin Zhou, Wen Jung Li, Rui Luo","05th Dec., 2024","arXiv, 2024",通用/未明确,分割,Paper:http://arxiv.org/abs/2412.04296v1 | Github:https://github.com/luo-lorry/Stylized-Medical-Segmentation,（README未提供，详见论文）
分割,Segmentation,vesselFM: A Foundation Model for Universal 3D Blood Vessel Segmentation,"Bastian Wittmann, Yannick Wattenberg, Tamaz Amiranashvili, Suprosanna Shit, Bjoern Menze","26th Nov., 2024","CVPR, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2411.17386v2 | Github:https://github.com/bwittmann/vesselFM,（README未提供，详见论文）
分割,Segmentation,ScribbleVS: Scribble-Supervised Medical Image Segmentation via Dynamic Competitive Pseudo Label Selection,"Tao Wang, Xinlin Zhang, Yuanbin Chen, Yuanbo Zhou, Longxuan Zhao, Tao Tan, Tong Tong","15th Nov., 2024","arXiv, 2024",通用/未明确,分割,Paper:http://arxiv.org/abs/2411.10237v1 | GitHub:https://github.com/ortonwang/ScribbleVS,（README未提供，详见论文）
